,0
533,15
534,15
535,15
536,15
537,15
538,15
539,15
540,15
541,15
542,15
543,15
544,15
545,15
546,15
547,15
548,15
549,15
550,15
551,15
552,15
553,15
554,15
555,15
556,15
557,15
558,15
559,15
560,16
561,16
562,16
563,16
564,16
565,16
566,16
567,16
568,16
569,16
570,16
571,16
572,16
573,16
574,16
575,16
576,16
577,16
578,16
579,16
580,16
581,16
582,16
583,16
584,16
585,16
586,16
587,16
588,16
589,16
590,16
591,16
592,16
593,16
594,16
595,16
596,16
597,16
598,16
599,16
600,16
601,16
602,17
603,17
604,17
605,17
606,17
607,17
608,17
609,17
610,17
611,17
612,17
613,17
614,17
615,17
616,17
617,17
618,17
619,17
620,17
621,17
622,17
623,17
624,17
625,17
626,17
627,17
628,17
629,17
630,17
631,17
632,17
633,17
634,17
635,17
636,17
637,18
638,18
639,18
640,18
641,18
642,18
643,18
644,18
645,18
646,18
647,18
648,18
649,18
650,18
651,18
652,18
653,18
654,18
655,18
656,18
657,18
658,18
659,18
660,18
661,18
662,18
663,18
664,18
665,18
666,18
667,18
668,18
669,18
670,18
671,18
672,18
673,18
674,18
675,19
676,19
677,19
678,19
679,19
680,19
681,19
682,19
683,19
684,19
685,19
686,19
687,19
688,19
689,19
690,19
691,19
692,19
693,19
694,19
695,19
696,19
697,19
698,19
699,19
700,19
701,19
702,19
703,19
704,19
705,19
706,19
707,19
708,19
709,19
